                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3245,                  6.447,                 1.7464,                      0,                      0,                      0,                      0,                 1.7179,                 6.2429,                 1.2589,               3.36e-06,               3.36e-06,               3.36e-06
                      2,                 2.2189,                 6.4447,                  1.684,                      0,                      0,                      0,                      0,                 1.7144,                 6.2852,                 1.3006,             6.9307e-06,             6.9307e-06,             6.9307e-06
                      3,                 2.1635,                 6.4277,                  1.651,                      0,                      0,                      0,                      0,                 1.7094,                 6.2996,                 1.3156,             1.0429e-05,             1.0429e-05,             1.0429e-05
                      4,                 2.0482,                 6.4168,                 1.5834,                      0,                      0,                      0,                      0,                 1.6616,                 6.2975,                 1.2981,             1.3856e-05,             1.3856e-05,             1.3856e-05
                      5,                 2.0523,                 6.4195,                 1.5337,                      0,                      0,                      0,                      0,                 1.6276,                 6.2943,                 1.2838,              1.721e-05,              1.721e-05,              1.721e-05
                      6,                 1.9319,                 6.3785,                 1.4584,                      0,                      0,                      0,                      0,                 1.5724,                 6.2768,                 1.2531,             2.0493e-05,             2.0493e-05,             2.0493e-05
                      7,                 1.8215,                 6.3751,                 1.4067,                      0,                      0,                      0,                      0,                 1.5465,                 6.2603,                  1.238,             2.3703e-05,             2.3703e-05,             2.3703e-05
                      8,                 1.7782,                 6.3288,                 1.3835,                      0,                      0,                      0,                      0,                 1.5126,                 6.2281,                 1.2186,              2.606e-05,              2.606e-05,              2.606e-05
                      9,                 1.7925,                 6.2908,                 1.3499,                      0,                      0,                      0,                      0,                 1.4914,                 6.1932,                 1.2037,              2.606e-05,              2.606e-05,              2.606e-05
                     10,                  1.707,                 6.2633,                 1.3093,                      0,                      0,                      0,                      0,                 1.4693,                 6.1564,                  1.189,             2.5782e-05,             2.5782e-05,             2.5782e-05
                     11,                 1.6718,                 6.2493,                 1.2665,                      0,                      0,                      0,                      0,                 1.4505,                 6.1196,                  1.178,             2.5505e-05,             2.5505e-05,             2.5505e-05
                     12,                 1.6829,                 6.2256,                 1.2608,                      0,                      0,                      0,                      0,                 1.4328,                 6.0708,                  1.166,             2.5228e-05,             2.5228e-05,             2.5228e-05
