                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3027,                 6.4364,                 1.7636,                      0,                      0,                      0,                      0,                 1.7168,                 6.2424,                 1.2581,               3.36e-06,               3.36e-06,               3.36e-06
                      2,                 2.2356,                 6.4416,                 1.6967,                      0,                      0,                      0,                      0,                 1.7099,                 6.2858,                 1.2993,             6.9307e-06,             6.9307e-06,             6.9307e-06
                      3,                 2.2147,                 6.4571,                 1.6447,                      0,                      0,                      0,                      0,                 1.7094,                 6.3072,                 1.3212,             1.0429e-05,             1.0429e-05,             1.0429e-05
                      4,                 2.0712,                 6.4294,                 1.5555,                      0,                      0,                      0,                      0,                 1.6671,                 6.3019,                 1.3017,             1.3856e-05,             1.3856e-05,             1.3856e-05
                      5,                 1.9479,                 6.3952,                  1.541,                      0,                      0,                      0,                      0,                 1.6343,                 6.2955,                 1.2856,              1.721e-05,              1.721e-05,              1.721e-05
                      6,                 1.8556,                 6.3817,                 1.4682,                      0,                      0,                      0,                      0,                 1.5766,                 6.2786,                 1.2578,             2.0493e-05,             2.0493e-05,             2.0493e-05
                      7,                 1.8651,                 6.3825,                 1.4158,                      0,                      0,                      0,                      0,                 1.5433,                 6.2638,                 1.2405,             2.3703e-05,             2.3703e-05,             2.3703e-05
                      8,                 1.8188,                 6.3307,                 1.3842,                      0,                      0,                      0,                      0,                 1.5089,                 6.2319,                 1.2201,              2.606e-05,              2.606e-05,              2.606e-05
                      9,                 1.7854,                 6.3179,                 1.3648,                      0,                      0,                      0,                      0,                  1.491,                 6.1991,                 1.2069,              2.606e-05,              2.606e-05,              2.606e-05
                     10,                 1.6951,                 6.2615,                 1.3046,                      0,                      0,                      0,                      0,                 1.4707,                 6.1586,                 1.1914,             2.5782e-05,             2.5782e-05,             2.5782e-05
                     11,                 1.6954,                 6.2553,                 1.2735,                      0,                      0,                      0,                      0,                 1.4531,                 6.1193,                 1.1789,             2.5505e-05,             2.5505e-05,             2.5505e-05
                     12,                 1.6572,                 6.2242,                 1.2555,                0.00193,                  7e-05,                0.00101,                 0.0004,                 1.4314,                 6.0682,                 1.1664,             2.5228e-05,             2.5228e-05,             2.5228e-05
                     13,                 1.6485,                 6.1745,                  1.242,                0.00051,                0.00039,                0.00037,                0.00014,                 1.4211,                 6.0283,                 1.1568,             2.4951e-05,             2.4951e-05,             2.4951e-05
                     14,                 1.5767,                 6.1347,                 1.2134,                0.00058,                0.00127,                0.00045,                0.00024,                 1.4143,                  5.993,                 1.1504,             2.4674e-05,             2.4674e-05,             2.4674e-05
                     15,                 1.6343,                 6.1316,                 1.2119,                0.00461,                0.00316,                0.00267,                0.00216,                 1.4132,                 5.9564,                 1.1449,             2.4396e-05,             2.4396e-05,             2.4396e-05
                     16,                 1.5963,                 6.0707,                 1.1926,                0.00262,                0.00597,                0.00205,                0.00136,                 1.4039,                 5.9044,                 1.1332,             2.4119e-05,             2.4119e-05,             2.4119e-05
                     17,                 1.5945,                 6.0514,                 1.1867,                0.00239,                0.00883,                0.00207,                0.00132,                 1.4066,                 5.8764,                 1.1307,             2.3842e-05,             2.3842e-05,             2.3842e-05
                     18,                 1.5804,                 6.0412,                 1.1851,                0.00474,                0.01264,                 0.0036,                0.00234,                 1.4088,                 5.8429,                 1.1283,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     19,                  1.566,                 5.9973,                 1.1428,                0.00354,                0.01691,                0.00346,                0.00241,                 1.4097,                 5.8075,                 1.1245,             2.3288e-05,             2.3288e-05,             2.3288e-05
                     20,                 1.5776,                 5.9472,                  1.158,                0.00269,                0.01954,                0.00341,                0.00241,                 1.4102,                 5.7714,                 1.1199,              2.301e-05,              2.301e-05,              2.301e-05
                     21,                 1.5641,                   5.93,                 1.1415,                 0.0042,                0.02113,                0.00446,                0.00318,                 1.4025,                  5.749,                  1.115,             2.2733e-05,             2.2733e-05,             2.2733e-05
                     22,                 1.5941,                 5.9142,                 1.1497,                0.00415,                0.02299,                 0.0047,                0.00328,                 1.3995,                 5.7284,                 1.1111,             2.2456e-05,             2.2456e-05,             2.2456e-05
                     23,                 1.5609,                 5.8692,                 1.1388,                  0.004,                0.02402,                0.00479,                0.00339,                 1.4066,                 5.7072,                 1.1106,             2.2179e-05,             2.2179e-05,             2.2179e-05
                     24,                 1.5512,                 5.8241,                 1.1348,                0.00435,                0.02574,                0.00522,                0.00362,                 1.3931,                 5.6861,                 1.1014,             2.1902e-05,             2.1902e-05,             2.1902e-05
                     25,                 1.5616,                 5.8441,                 1.1284,                0.00353,                0.02574,                0.00482,                0.00333,                 1.3903,                 5.6724,                 1.0988,             2.1624e-05,             2.1624e-05,             2.1624e-05
                     26,                 1.5605,                 5.8215,                 1.1397,                0.00291,                0.02615,                0.00475,                0.00332,                 1.3853,                 5.6571,                 1.0958,             2.1347e-05,             2.1347e-05,             2.1347e-05
                     27,                 1.5741,                 5.8197,                 1.1196,                0.00371,                0.02797,                0.00557,                0.00386,                 1.3789,                 5.6432,                 1.0925,              2.107e-05,              2.107e-05,              2.107e-05
                     28,                 1.5381,                 5.7652,                 1.1205,                0.00405,                0.02978,                0.00617,                0.00427,                 1.3699,                 5.6127,                 1.0862,             2.0793e-05,             2.0793e-05,             2.0793e-05
                     29,                  1.556,                 5.7746,                  1.121,                0.00515,                0.03027,                0.00714,                0.00509,                 1.3655,                 5.6037,                 1.0844,             2.0516e-05,             2.0516e-05,             2.0516e-05
                     30,                 1.5409,                 5.7496,                 1.1169,                0.00585,                0.03198,                0.00776,                0.00556,                 1.3632,                 5.5901,                 1.0825,             2.0238e-05,             2.0238e-05,             2.0238e-05
                     31,                 1.5305,                 5.6996,                 1.1064,                0.00746,                0.03266,                 0.0087,                 0.0061,                 1.3623,                 5.5756,                 1.0796,             1.9961e-05,             1.9961e-05,             1.9961e-05
                     32,                 1.5427,                 5.7263,                 1.0956,                0.00688,                0.03504,                0.00884,                0.00615,                 1.3671,                 5.5528,                 1.0775,             1.9684e-05,             1.9684e-05,             1.9684e-05
                     33,                 1.5248,                  5.713,                 1.0968,                0.00854,                0.03707,                0.01005,                0.00711,                 1.3719,                 5.5319,                 1.0755,             1.9407e-05,             1.9407e-05,             1.9407e-05
                     34,                 1.5122,                 5.6478,                  1.102,                0.00809,                0.03814,                0.01033,                0.00724,                 1.3689,                 5.5198,                 1.0742,              1.913e-05,              1.913e-05,              1.913e-05
                     35,                 1.5394,                 5.6632,                 1.0924,                0.00776,                0.03808,                0.01038,                0.00724,                 1.3648,                 5.5033,                  1.072,             1.8852e-05,             1.8852e-05,             1.8852e-05
                     36,                 1.5869,                 5.6781,                 1.1116,                0.00792,                0.04126,                0.01086,                0.00741,                 1.3618,                  5.502,                 1.0718,             1.8575e-05,             1.8575e-05,             1.8575e-05
                     37,                 1.5431,                 5.6635,                 1.0955,                0.00877,                0.04099,                0.01143,                0.00779,                 1.3646,                 5.4793,                   1.07,             1.8298e-05,             1.8298e-05,             1.8298e-05
                     38,                 1.5691,                 5.6702,                 1.0918,                0.00894,                0.04279,                0.01185,                0.00805,                   1.37,                 5.4601,                 1.0681,             1.8021e-05,             1.8021e-05,             1.8021e-05
