epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0682,2.51428,6.40207,1.85099,0.00133,0.00452,0.00088,0.00048,1.69047,inf,1.23188,2.24e-06,2.24e-06,2.24e-06
2,55.1681,2.24902,6.34951,1.75423,0.0019,0.00541,0.00116,0.00071,1.66749,inf,1.23882,4.73644e-06,4.73644e-06,4.73644e-06
3,61.4109,2.12977,6.30681,1.68009,0.00202,0.00709,0.00122,0.00059,1.67009,inf,1.26318,7.20793e-06,7.20793e-06,7.20793e-06
4,66.7604,2.05805,6.24847,1.63273,0.00235,0.00392,0.00128,0.00044,1.65095,inf,1.26548,9.65447e-06,9.65447e-06,9.65447e-06
5,71.5273,1.92609,6.19915,1.51237,0.00145,0.00823,0.00125,0.00087,1.60008,inf,1.25026,1.20761e-05,1.20761e-05,1.20761e-05
6,77.3428,1.83006,6.0932,1.44097,0.00127,0.0103,0.00198,0.0015,1.55889,inf,1.23457,1.44727e-05,1.44727e-05,1.44727e-05
7,82.3365,1.71892,5.97744,1.37359,0.00121,0.0116,0.00113,0.00073,1.5265,inf,1.22044,1.68444e-05,1.68444e-05,1.68444e-05
8,88.032,1.68883,5.94328,1.3428,0.00666,0.01543,0.00452,0.00363,1.50109,inf,1.21159,1.91912e-05,1.91912e-05,1.91912e-05
9,93.3212,1.65473,5.83921,1.30895,0.00644,0.01556,0.0049,0.00372,1.48681,inf,1.20827,2.1513e-05,2.1513e-05,2.1513e-05
10,98.1327,1.5537,5.69408,1.27484,0.01007,0.0165,0.00778,0.0058,1.47787,inf,1.20674,2.38098e-05,2.38098e-05,2.38098e-05
11,104.422,1.60252,5.66277,1.24527,0.01256,0.01937,0.0094,0.00683,1.46447,inf,1.20407,2.60817e-05,2.60817e-05,2.60817e-05
12,109.606,1.51684,5.55513,1.21654,0.0156,0.02524,0.0113,0.00747,1.45515,inf,1.20221,2.64754e-05,2.64754e-05,2.64754e-05
13,115.97,1.53058,5.43549,1.22081,0.01663,0.02695,0.01246,0.00745,1.45176,inf,1.20245,2.63368e-05,2.63368e-05,2.63368e-05
14,121.06,1.5155,5.36006,1.18828,0.01636,0.02679,0.01287,0.00753,1.43984,inf,1.19888,2.61982e-05,2.61982e-05,2.61982e-05
15,126.804,1.46575,5.20259,1.1788,0.01712,0.02869,0.01344,0.00805,1.42867,inf,1.19641,2.60596e-05,2.60596e-05,2.60596e-05
16,132.477,1.44977,5.07038,1.17159,0.01644,0.0347,0.01538,0.01005,1.41781,inf,1.19554,2.5921e-05,2.5921e-05,2.5921e-05
17,137.404,1.47068,5.03753,1.16738,0.01462,0.0385,0.01672,0.01112,1.41093,inf,1.19477,2.57824e-05,2.57824e-05,2.57824e-05
18,143.345,1.45009,4.95071,1.16526,0.015,0.04432,0.01969,0.01321,1.40349,inf,1.18961,2.56438e-05,2.56438e-05,2.56438e-05
