epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4608,1.71147,6.07784,1.69796,0.00057,0.00191,0.00034,0.00024,1.26339,inf,1.32366,8.4e-06,8.4e-06,8.4e-06
2,32.2553,1.36643,5.73306,1.37303,0.00379,0.00464,0.00247,0.00192,1.23291,inf,1.25442,1.70787e-05,1.70787e-05,1.70787e-05
3,45.8687,1.26775,5.2599,1.26041,0.00792,0.02902,0.01059,0.00774,1.20594,inf,1.22081,2.57522e-05,2.57522e-05,2.57522e-05
4,59.582,1.24351,4.8521,1.22899,0.26151,0.03458,0.02575,0.01982,1.20258,inf,1.22938,2.7981e-05,2.7981e-05,2.7981e-05
5,73.3574,1.23123,4.47833,1.22691,0.31154,0.04896,0.05353,0.03972,1.19015,3.81343,1.23672,2.79662e-05,2.79662e-05,2.79662e-05
6,87.0747,1.25229,4.16326,1.22012,0.36873,0.06085,0.07644,0.05768,1.1909,3.57843,1.23786,2.79473e-05,2.79473e-05,2.79473e-05
7,100.837,1.24759,3.81369,1.21995,0.3478,0.10693,0.1159,0.0845,1.18203,3.33739,1.23589,2.79241e-05,2.79241e-05,2.79241e-05
8,114.668,1.24855,3.56971,1.20091,0.38354,0.14332,0.15286,0.10943,1.17142,3.05937,1.24737,2.78967e-05,2.78967e-05,2.78967e-05
9,128.351,1.22494,3.15886,1.21397,0.37077,0.1941,0.20167,0.14443,1.16214,2.75813,1.23417,2.78651e-05,2.78651e-05,2.78651e-05
10,142.165,1.24606,2.89837,1.20587,0.39984,0.23907,0.24869,0.17804,1.14713,2.45364,1.24047,2.78294e-05,2.78294e-05,2.78294e-05
11,155.839,1.24271,2.63896,1.22381,0.43326,0.27687,0.30081,0.21164,1.15056,2.22796,1.23645,2.77894e-05,2.77894e-05,2.77894e-05
12,169.589,1.22503,2.3839,1.21388,0.4741,0.3241,0.34866,0.24645,1.13572,1.98463,1.2443,2.77454e-05,2.77454e-05,2.77454e-05
13,183.303,1.19131,2.20942,1.1965,0.51802,0.35271,0.37875,0.26846,1.11859,1.80726,1.231,2.76971e-05,2.76971e-05,2.76971e-05
14,196.907,1.1896,2.10398,1.21128,0.54906,0.38306,0.40243,0.28366,1.12645,1.66319,1.2315,2.76448e-05,2.76448e-05,2.76448e-05
15,210.571,1.17855,1.85865,1.20816,0.56002,0.41821,0.43752,0.30704,1.12822,1.4888,1.23401,2.75883e-05,2.75883e-05,2.75883e-05
16,224.147,1.15209,1.74551,1.19669,0.586,0.45299,0.4736,0.33217,1.1188,1.36086,1.22328,2.75277e-05,2.75277e-05,2.75277e-05
17,237.799,1.16577,1.64729,1.18439,0.61658,0.478,0.51238,0.35986,1.11219,1.26797,1.22612,2.74631e-05,2.74631e-05,2.74631e-05
18,251.608,1.13129,1.5449,1.15806,0.60435,0.51664,0.5385,0.38019,1.10422,1.18006,1.20928,2.73944e-05,2.73944e-05,2.73944e-05
19,265.301,1.13509,1.44371,1.16611,0.67306,0.5336,0.56349,0.39594,1.10335,1.13236,1.21237,2.73216e-05,2.73216e-05,2.73216e-05
20,278.943,1.13552,1.37355,1.16443,0.6833,0.5358,0.59031,0.41871,1.11643,1.07699,1.20374,2.72449e-05,2.72449e-05,2.72449e-05
21,292.515,1.12926,1.3135,1.19121,0.68948,0.5645,0.61091,0.43364,1.08821,1.01572,1.20508,2.71641e-05,2.71641e-05,2.71641e-05
22,306.053,1.12871,1.31894,1.16558,0.68919,0.57272,0.61966,0.43918,1.09431,0.99739,1.1994,2.70794e-05,2.70794e-05,2.70794e-05
23,319.689,1.12216,1.24655,1.15172,0.72342,0.56698,0.64056,0.45802,1.07881,0.9587,1.1924,2.69908e-05,2.69908e-05,2.69908e-05
24,333.262,1.12114,1.21042,1.15952,0.65129,0.64322,0.65625,0.46924,1.07114,0.91836,1.19543,2.68982e-05,2.68982e-05,2.68982e-05
25,346.785,1.0823,1.11936,1.16323,0.69452,0.64906,0.6736,0.48339,1.06544,0.88852,1.18318,2.68017e-05,2.68017e-05,2.68017e-05
